userId|uid|userType|mail|companyName|familyName|givenName
ric00001|100001|internal-partner|ric00001@partner.nri.co.jp|株式会社リック|理津駆|００００１
ric00002|100002|internal-partner|ric00002@partner.nri.co.jp|株式会社リック|理津駆|００００２
ric00003|100003|internal-partner|ric00003@partner.nri.co.jp|株式会社リック|理津駆|００００３
ric00004|100004|internal-partner|ric00004@partner.nri.co.jp|株式会社リック|理津駆|００００４
ric00005|100005|internal-partner|ric00005@partner.nri.co.jp|株式会社リック|理津駆|００００５
ric00006|100006|internal-partner|ric00006@partner.nri.co.jp|株式会社リック|理津駆|００００６
ric00007|100007|internal-partner|ric00007@partner.nri.co.jp|株式会社リック|理津駆|００００７
ric00008|100008|internal-partner|ric00008@partner.nri.co.jp|株式会社リック|理津駆|００００８
ric00009|100009|internal-partner|ric00009@partner.nri.co.jp|株式会社リック|理津駆|００００９
ric00010|100010|internal-partner|ric00010@partner.nri.co.jp|株式会社リック|理津駆|０００１０
ric00011|100011|internal-partner|ric00011@partner.nri.co.jp|株式会社リック|理津駆|０００１１
ric00012|100012|internal-partner|ric00012@partner.nri.co.jp|株式会社リック|理津駆|０００１２
ric00013|100013|internal-partner|ric00013@partner.nri.co.jp|株式会社リック|理津駆|０００１３
ric00014|100014|internal-partner|ric00014@partner.nri.co.jp|株式会社リック|理津駆|０００１４
ric00015|100015|internal-partner|ric00015@partner.nri.co.jp|株式会社リック|理津駆|０００１５
ric00016|100016|internal-partner|ric00016@partner.nri.co.jp|株式会社リック|理津駆|０００１６
ric00017|100017|internal-partner|ric00017@partner.nri.co.jp|株式会社リック|理津駆|０００１７
ric00018|100018|internal-partner|ric00018@partner.nri.co.jp|株式会社リック|理津駆|０００１８
ric00019|100019|internal-partner|ric00019@partner.nri.co.jp|株式会社リック|理津駆|０００１９
ric00020|100020|internal-partner|ric00020@partner.nri.co.jp|株式会社リック|理津駆|０００２０
ric00021|100021|internal-partner|ric00021@partner.nri.co.jp|株式会社リック|理津駆|０００２１
ric00022|100022|internal-partner|ric00022@partner.nri.co.jp|株式会社リック|理津駆|０００２２
ric00023|100023|internal-partner|ric00023@partner.nri.co.jp|株式会社リック|理津駆|０００２３
ric00024|100024|internal-partner|ric00024@partner.nri.co.jp|株式会社リック|理津駆|０００２４
ric00025|100025|internal-partner|ric00025@partner.nri.co.jp|株式会社リック|理津駆|０００２５
ric00026|100026|internal-partner|ric00026@partner.nri.co.jp|株式会社リック|理津駆|０００２６
ric00027|100027|internal-partner|ric00027@partner.nri.co.jp|株式会社リック|理津駆|０００２７
ric00028|100028|internal-partner|ric00028@partner.nri.co.jp|株式会社リック|理津駆|０００２８
ric00029|100029|internal-partner|ric00029@partner.nri.co.jp|株式会社リック|理津駆|０００２９
ric00030|100030|internal-partner|ric00030@partner.nri.co.jp|株式会社リック|理津駆|０００３０
ric00031|100031|internal-partner|ric00031@partner.nri.co.jp|株式会社リック|理津駆|０００３１
ric00032|100032|internal-partner|ric00032@partner.nri.co.jp|株式会社リック|理津駆|０００３２
ric00033|100033|internal-partner|ric00033@partner.nri.co.jp|株式会社リック|理津駆|０００３３
ric00034|100034|internal-partner|ric00034@partner.nri.co.jp|株式会社リック|理津駆|０００３４
ric00035|100035|internal-partner|ric00035@partner.nri.co.jp|株式会社リック|理津駆|０００３５
ric00036|100036|internal-partner|ric00036@partner.nri.co.jp|株式会社リック|理津駆|０００３６
ric00037|100037|internal-partner|ric00037@partner.nri.co.jp|株式会社リック|理津駆|０００３７
ric00038|100038|internal-partner|ric00038@partner.nri.co.jp|株式会社リック|理津駆|０００３８
